ASM943263v1	GCA_009432635.1	GCF_009432635.1
ASM3442243v1	GCA_034422435.1	GCF_034422435.1
ASM3757582v1	GCA_037575825.1	GCF_037575825.1
ASM205724v1	GCA_002057245.1	GCF_002057245.1
ASM189030v1	GCA_001890305.1	GCF_001890305.1
ASM301881v1	GCA_003018815.1	GCF_003018815.1
ASM301793v1	GCA_003017935.1	GCF_003017935.1
ASM2794457v1	GCA_027944575.1	GCF_027944575.1
ASM1943118v1	GCA_019431185.1	GCF_019431185.1
ASM301755v1	GCA_003017555.1	GCF_003017555.1
ASM1688968v1	GCA_016889685.1	GCF_016889685.1
ASM320375v1	GCA_003203755.1	GCF_003203755.1
ASM3597411v1	GCA_035974115.1	GCF_035974115.1
ASM396644v1	GCA_003966445.1	GCF_003966445.1
ASM1297456v1	GCA_012974565.1	GCF_012974565.1
ASM1781581v1	GCA_017815815.1	GCF_017815815.1
ASM456403v1	GCA_004564035.1	GCF_004564035.1
ASM190051v1	GCA_001900515.1	GCF_001900515.1
ASM1677598v1	GCA_016775985.1	GCF_016775985.1
ASM215682v1	GCA_002156825.1	GCF_002156825.1
F374	GCA_963575375.1	GCF_963575375.1
NRZ14408 genome	GCA_900093485.1	GCF_900093485.1
ASM1677638v1	GCA_016776385.1	GCF_016776385.1
ASM3756828v1	GCA_037568285.1	GCF_037568285.1
ASM475902v1	GCA_004759025.1	GCF_004759025.1
ASM3442427v1	GCA_034424275.1	GCF_034424275.1
ASM301905v1	GCA_003019055.1	GCF_003019055.1
ASM2491737v1	GCA_024917375.1	GCF_024917375.1
ASM164523v2	GCA_001645235.2	GCF_001645235.2
ASM190053v1	GCA_001900535.1	GCF_001900535.1
ASM3070825v1	GCA_030708255.1	GCF_030708255.1
ASM2599661v1	GCA_025996615.1	GCF_025996615.1
ASM1293476v1	GCA_012934765.1	GCF_012934765.1
ASM1550900v1	GCA_015509005.1	GCF_015509005.1
ASM1429523v1	GCA_014295235.1	GCF_014295235.1
ASM3070801v1	GCA_030708015.1	GCF_030708015.1
ASM3688440v1	GCA_036884405.1	GCF_036884405.1
ASM2599607v1	GCA_025996075.1	GCF_025996075.1
ASM3000797v1	GCA_030007975.1	GCF_030007975.1
ASM696546v1	GCA_006965465.1	GCF_006965465.1
ASM301797v1	GCA_003017975.1	GCF_003017975.1
ASM3001310v1	GCA_030013105.1	GCF_030013105.1
ASM301745v1	GCA_003017455.1	GCF_003017455.1
ASM1602619v1	GCA_016026195.1	GCF_016026195.1
ASM239346v1	GCA_002393465.1	GCF_002393465.1
ASM78492v1	GCA_000784925.1	GCF_000784925.1
ASM876149v2	GCA_008761495.2	GCF_008761495.2
